,,"Продажа автомобилей ""MB Motors""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""MB Motors""
				ул. ХаГистадрут 33, Хайфа								Тел. 04-6211151, 052-3257457http://mbmotorscar.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Мобильные телефоны ""Orange""","Мобильные телефоны (29) ","
				Мобильные телефоны ""Orange""
				ул. Герцль 25, Хайфа				(Адар)				Тел. 077-4107010, 052-7518585",http://info24.co.il/coupons/vse-goroda/mobilnye_telefony
,,"Мобильные телефоны ""Melafon""","Мобильные телефоны (29) ","
				Мобильные телефоны ""Melafon""
				ул. Кабри 2, Кирьят Хаим								Тел. 04-8403553, 054-6697797http://facebook.com/melamelafon",http://info24.co.il/coupons/vse-goroda/mobilnye_telefony
,,"Мобильные телефоны ""Media Store"" - Хайфа","Мобильные телефоны (29) ","
				Мобильные телефоны ""Media Store"" - Хайфа
				т.ц. ""Саголь"" (Рамбам), Хайфа								Тел. 077-4107020",http://info24.co.il/coupons/vse-goroda/mobilnye_telefony
,,"Агентство по недвижимости ""Империя""","Недвижимость (25) ","
				Агентство по недвижимости ""Империя""
				ул. Мордей ХаГетаот 6, Кирьят-Ата								Тел. 077-5020630				Факс. 077-5020631",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:info@skidki.co.il,info@skidki.co.il,"Реклама в Израиле ""Info24.co.il""","Недвижимость (25) ","
				Реклама в Израиле ""Info24.co.il""
				Телефоны для рекламодателей:								Тел. 073-7508999, (+972)-73-750-8999info@skidki.co.il",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:boris.stetsko@gmail.com,boris.stetsko@gmail.com,"Недвижимость в Крайот - Кирьят-Ата ""PrimEra""","Недвижимость (25) ","
				Недвижимость в Крайот - Кирьят-Ата ""PrimEra""
				ул. Сдерот ХаЦионут 3, Кирьят-Ата								Тел. 072-2992555, 052-5991133boris.stetsko@gmail.comhttp://primera.co.il",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:snecasim@gmail.com,snecasim@gmail.com,"Недвижимость в Крайот ""Шакед Некасим""","Недвижимость (25) ","
				Недвижимость в Крайот ""Шакед Некасим""
				ул. Ахи Эйлат 16, Кирьят Хаим								Тел. 050-6759746				Факс. 04-8724240snecasim@gmail.comhttp://shakedn.co.il",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:tivuh_fortuna@walla.com,tivuh_fortuna@walla.com,"Недвижимость в Крайот - ""Тивух Фортуна""","Недвижимость (25) ","
				Недвижимость в Крайот - ""Тивух Фортуна""
				ул. Керен ХаЙесод 72, Кирьят Бялик								Тел. 04-8752775, 052-2654193tivuh_fortuna@walla.comhttp://dom.co.il/listings-from-%D0%A4%D0%BE%D1%80%D1%82%D1%83%D0%BD%D0%B0-45-all",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:gi2000@gi2000.co.il,gi2000@gi2000.co.il,"Агентство по недвижимости ""G&i 2000""","Недвижимость (25) ","
				Агентство по недвижимости ""G&i 2000""
				ул. ХаГаатон 16, Нагария								Тел. 052-2343320, 04-9512345, 052-3323665				Факс. 04-9512344gi2000@gi2000.co.ilhttp://gi2000.co.il",http://info24.co.il/coupons/vse-goroda/nedvizhimost
,,"Почасовая аренда апартаментов в Хайфе","Недвижимость (25) ","
				Почасовая аренда апартаментов в Хайфе
				Джеймс Уатт 2, Хайфа								Тел. 04-8700387, 052-7536626",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:penthousenol@gmail.com,penthousenol@gmail.com,"Недвижимость в Кармиэле - Penthouse","Недвижимость (25) ","
				Недвижимость в Кармиэле - Penthouse
				ул. Мисгав 15, Кармиэль								Тел. 050-9587755, 04-9587730				Факс. 04-9128663penthousenol@gmail.comhttps://facebook.com/penthousenadlan",http://info24.co.il/coupons/vse-goroda/nedvizhimost
,,"Агентство по недвижимости ""Маклер Престиж""","Недвижимость (25) ","
				Агентство по недвижимости ""Маклер Престиж""
				Крайот - Хайфа - Акко								Тел. 04-8733639, 052-3213857",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:albatof@walla.com,albatof@walla.com,"Двери, Бойлеры, Маклер ""Элбатов""","Недвижимость (25) ","
				Двери, Бойлеры, Маклер ""Элбатов""
				ул. ХаХарошет 11, Кармиэль				(2-й этаж)				Тел. 04-9981005, 054-4336406				Факс. 04-9881426albatof@walla.com",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:eliko1964@walla.com,eliko1964@walla.com,"Агентство по недвижимости ""Топ Надлан""","Недвижимость (25) ","
				Агентство по недвижимости ""Топ Надлан""
				ул. Герцль 38, Нагария								Тел. 04-9000360, 054-2065555				Факс. 04-9000059eliko1964@walla.com",http://info24.co.il/coupons/vse-goroda/nedvizhimost
,,"Недвижимость в Маалоте - Тивух Шилаит","Недвижимость (25) ","
				Недвижимость в Маалоте - Тивух Шилаит
				ул. Рав Кук 20, Маалот				(Мерказ Месхари Хадаш)				Тел. 04-9974888, 054-2803166, 054-4480044				Факс. 04-9974888",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:maman1220@walla.com,maman1220@walla.com,"Недвижимость в Хайфе и Крайот ""Maman""","Недвижимость (25) ","
				Недвижимость в Хайфе и Крайот ""Maman""
				ул. Трумпельдор 39, Хайфа								Тел. 077-3241158, 052-2227870				Факс. 077-5340720maman1220@walla.com",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:info@dom.co.il,info@dom.co.il,"Недвижимость в Израиле - Дом.co.il","Недвижимость (25) ","
				Недвижимость в Израиле - Дом.co.il
				Контактный телефон:								Тел. 073-7508999info@dom.co.ilhttp://dom.co.il",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:mixael777@gmail.com,mixael777@gmail.com,"Маклерская контора ""Сохнут Иерушалайм""","Недвижимость (25) ","
				Маклерская контора ""Сохнут Иерушалайм""
				ул. Йерушалайм 13, Кирьят Ям								Тел. 050-5610883, 04-8707778, 052-6003637				Факс. 04-8734918mixael777@gmail.com",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:beithanadlan@gmail.com,beithanadlan@gmail.com,"Агентство по недвижимости ""Байт ХаНадлан""","Недвижимость (25) ","
				Агентство по недвижимости ""Байт ХаНадлан""
				ул. Моше Шарет 7, Кирьят Ям								Тел. 04-8708114, 052-3102827 				Факс. 04-8708115beithanadlan@gmail.com",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:laurence_v@nana10.co.il,laurence_v@nana10.co.il,"Агентство по недвижимости ""Надлан Бат Галим""","Недвижимость (25) ","
				Агентство по недвижимости ""Надлан Бат Галим""
				ул. Ха'Алия ХаШния 40, Хайфа								Тел. 077-4545200, 052-2833249laurence_v@nana10.co.il",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:ron567@gmail.com,ron567@gmail.com,"Маклер RE/MAX - Лимор Абрахам","Недвижимость (25) ","
				Маклер RE/MAX - Лимор Абрахам
				Кирьят Бялик, ул. Керен Хайесод 25								Тел. 052-5000429				Факс. 04-8702342ron567@gmail.comhttp://www.remax-israel.com/myhome",http://info24.co.il/coupons/vse-goroda/nedvizhimost
mailto:info@helena-dance.com,info@helena-dance.com,"Танец живота, восточные танцы - ""Helena""","Образование, курсы (22) ","
				Танец живота, восточные танцы - ""Helena""
				ул. Бейт Эль 3, Хайфа				Центр ""Ор веМага""				Тел. 054-6807470info@helena-dance.comhttp://helena-dance.com/ru.html",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
,,"Школа вождения в Хайфе - ""Автошкола Ольга""","Образование, курсы (22) ","
				Школа вождения в Хайфе - ""Автошкола Ольга""
				ул. ХаМегиним 81, Хайфа								Тел. 050-4920900",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
mailto:service@lfayou.co.il,service@lfayou.co.il,"Курс - Ассистент стоматолога","Образование, курсы (22) ","
				Курс - Ассистент стоматолога
				ул. ХаКабай 3, Кармиэль								Тел. 04-9884743				Факс. Факс. 04-9980251service@lfayou.co.ilhttp://www.lfayou.co.il",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
mailto:evgenymendus@ambulang.com,evgenymendus@ambulang.com,"Курсы иврита и иностранных языков ""Ambulang""","Образование, курсы (22) ","
				Курсы иврита и иностранных языков ""Ambulang""
				ул. Певзнер 23, Хайфа								Тел. 054-6816607, 077-7510053evgenymendus@ambulang.comhttp://www.ambulang.com",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
mailto:service@lfayou.co.il,service@lfayou.co.il,"Школа красоты ""LFA-You Care""","Образование, курсы (22) ","
				Школа красоты ""LFA-You Care""
				ул. ХаКабай 3, Кармиэль								Тел. 04-9884743				Факс. 04-9980251service@lfayou.co.ilhttp://www.lfayou.co.il",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
mailto:petinstyle@gmail.com,petinstyle@gmail.com,"Курсы груминга, стрижка кошек и собак","Образование, курсы (22) ","
				Курсы груминга, стрижка кошек и собак
				ул. ККЛ 5, Кирьят Моцкин								Тел. 054-6375053, 04-8746313petinstyle@gmail.com",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
,,"Школа танцев ""Casa dance""","Образование, курсы (22) ","
				Школа танцев ""Casa dance""
				ул. ЙеХиям 13, Кирьят Ям								Тел. 054-6444595, 054-9984697http://casadance.co.il",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
mailto:service@lfayou.co.il,service@lfayou.co.il,"Курсы AutoCAD ""LFA-You Know""","Образование, курсы (22) ","
				Курсы AutoCAD ""LFA-You Know""
				ул. ХаКабай 3, Кармиэль								Тел. 04-9884743				Факс. 04-9980251service@lfayou.co.ilhttp://www.lfayou.co.il",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
mailto:service@lfayou.co.il,service@lfayou.co.il,"Курсы туристических агентов ""LFA-You Know""","Образование, курсы (22) ","
				Курсы туристических агентов ""LFA-You Know""
				ул. ХаКабай 3, Кармиэль								Тел. 04-9884743				Факс. 04-9980251service@lfayou.co.ilhttp://www.lfayou.co.il",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
,,"Курсы Форекс (Forex) в Израиле","Образование, курсы (22) ","
				Курсы Форекс (Forex) в Израиле
				Весь Израиль								Тел. 050-5705749",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
mailto:mwclubisrael@gmail.com,mwclubisrael@gmail.com,"Центр гармоничного развития человека MW-Club","Образование, курсы (22) ","
				Центр гармоничного развития человека MW-Club
				Тель-Авив								Тел. 052-8336166mwclubisrael@gmail.comhttp://mwclubisrael.com",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
mailto:artynailstudio@gmail.com,artynailstudio@gmail.com,"Наращивание ногтей ""A-Studio""","Образование, курсы (22) ","
				Наращивание ногтей ""A-Studio""
				ул. Морад ХаГай 100, Кармиэль				(т.ц. ""Лев Кармиэль"", со стороны паркинга)				Тел. 050-7666447artynailstudio@gmail.comhttp://artynails-shop.com",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
mailto:emilioavshalom@hotmail.com,emilioavshalom@hotmail.com,"Салон и школа красоты ""Emilio""","Образование, курсы (22) ","
				Салон и школа красоты ""Emilio""
				ул. Дерех Акко 190, Кирьят Бялик				(рядом с т.ц. ""Кирьон"")				Тел. 04-8733388, 052-8592959emilioavshalom@hotmail.com",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
mailto:studio.artnail@gmail.com,studio.artnail@gmail.com,"Салон-школа красоты ""Studio Artnail""","Образование, курсы (22) ","
				Салон-школа красоты ""Studio Artnail""
				ул. Генриетта Сольд 50, Кирьят Ям								Тел. 054-2281339, 074-7038422studio.artnail@gmail.comhttp://artnail.co.il",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
mailto:victor1002@bezeqint.net,victor1002@bezeqint.net,"Школа вождения ""Нетивей ХаГалиль""","Образование, курсы (22) ","
				Школа вождения ""Нетивей ХаГалиль""
				ул. ХаХарошет 5, Кармиэль								Тел. 04-9989584, 052-2619587, 052-3221157victor1002@bezeqint.net",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
mailto:israellevy01@gmail.com,israellevy01@gmail.com,"Учитель вождения в Кармиэле - Исраэль Леви","Образование, курсы (22) ","
				Учитель вождения в Кармиэле - Исраэль Леви
				ул. Бикурим 42, Кармиэль								Тел. 054-7451772israellevy01@gmail.com",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
mailto:supertesthaifa@gmail.com,supertesthaifa@gmail.com,"Гараж ""Super-Test""","Образование, курсы (22) ","
				Гараж ""Super-Test""
				ул. ХаАшлаг 3, Хайфа				(Чекпост)				Тел. 04-8415054, 054-4415054supertesthaifa@gmail.comhttp://supertest.co.il",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
,,"Детский сад ""Динь-Дон""","Образование, курсы (22) ","
				Детский сад ""Динь-Дон""
				ул. Нордау 16, Хайфа								Тел. 054-3989936, 054-9051556",http://info24.co.il/coupons/vse-goroda/obrazovanie_kursy
,,"Женская одежда и аксессуары ""D'Oro Fashions""","Одежда, обувь, сумки (48) ","
				Женская одежда и аксессуары ""D'Oro Fashions""
				ул. Моше Гошен 85, Кирьят Моцкин								Тел. 054-2948027, 054-5328731http://diorofashions.com",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
mailto:yo.ohha@walla.com,yo.ohha@walla.com,"Бутик одежды ""Ohha""","Одежда, обувь, сумки (48) ","
				Бутик одежды ""Ohha""
				ул. Зевулон 13, Кирьят-Ата								Тел. 077-2161500, 054-7200881yo.ohha@walla.com",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
,,"Бутик ""Gladis""","Одежда, обувь, сумки (48) ","
				Бутик ""Gladis""
				ул. Меир 26, Хайфа								Тел. 052-5846444https://facebook.com/Gladisboutiquehaifa",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
mailto:service@mybaby.co.il,service@mybaby.co.il,"My Baby - торговый центр для матери и ребенка","Одежда, обувь, сумки (48) ","
				My Baby - торговый центр для матери и ребенка
				Ярка								Тел. 04-9563336, 053-3316208				Факс. 04-9565335service@mybaby.co.ilhttp://mybaby.co.il",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
mailto:hatoona@mail.ru,hatoona@mail.ru,"Свадебные платья ""Hatoona""","Одежда, обувь, сумки (48) ","
				Свадебные платья ""Hatoona""
				ул. Дерех Акко 140, Кирьят Бялик				(2-й эт.)				Тел. 054-4678275hatoona@mail.ruhttp://hatoona.net",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
mailto:mabruk-h-style@walla.com,mabruk-h-style@walla.com,"Магазин одежды ""Mabruk H Style""","Одежда, обувь, сумки (48) ","
				Магазин одежды ""Mabruk H Style""
				Ярка				(не доезжая до ""Мерказ Амазон"", по правой стороне)				Тел. 04-9565505, 04-9804751				Факс. 04-9565505mabruk-h-style@walla.comhttp://www.mabrok.co.il",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
,,"Итальянская одежда и бижутерия ""Zoya""","Одежда, обувь, сумки (48) ","
				Итальянская одежда и бижутерия ""Zoya""
				ул. Гошен 51, Кирьят Моцкин								Тел. 077-8101313				Факс. 077-4007139",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
,,"Винтажная одежда секонд хенд ""Гармония""","Одежда, обувь, сумки (48) ","
				Винтажная одежда секонд хенд ""Гармония""
				ул. Дерех Акко 190, Кирьят Бялик				(рядом с т.ц. ""Кирьон"")				Тел. 04-8731181, 052-5366054",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
,,"Одежда больших размеров для мужчин ""Нив Мод""","Одежда, обувь, сумки (48) ","
				Одежда больших размеров для мужчин ""Нив Мод""
				ул. Дерех Акко 140, Кирьят Бялик				(Перекресток ""Цабар"")				Тел. 04-8732081, 052-8733448",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
,,"Магазин одежды ""Clips Fasion""","Одежда, обувь, сумки (48) ","
				Магазин одежды ""Clips Fasion""
				Кармиэль, т.ц. ""Лев Кармиэль""								Тел. 04-9585129",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
,,"Магазин одежды ""Select""","Одежда, обувь, сумки (48) ","
				Магазин одежды ""Select""
				Ярка				(напротив т.ц. ""Кенан"")				Тел. 04-9804213http://select.org.il",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
,,"Женское нижнее белье ""Ladies First""","Одежда, обувь, сумки (48) ","
				Женское нижнее белье ""Ladies First""
				Мерказ Месхари 5, Маалот								Тел. 050-7156216",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
mailto:yana.metab@gmail.com,yana.metab@gmail.com,"Магазин женской одежды ""Бутик Лорэн""","Одежда, обувь, сумки (48) ","
				Магазин женской одежды ""Бутик Лорэн""
				ул. Бен Ами 42, Акко								Тел. 054-9981126, 054-9981125yana.metab@gmail.com",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
,,"Детская одежда ""Йали Кидз Лайн""","Одежда, обувь, сумки (48) ","
				Детская одежда ""Йали Кидз Лайн""
				ул. Керен ХаЙесод 18, Кирьят Бялик								Тел. 04-8708820, 050-2170599",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
,,"Ремонт и покраска обуви и сумок ""Алекс""","Одежда, обувь, сумки (48) ","
				Ремонт и покраска обуви и сумок ""Алекс""
				ул. Гаатон 43, Нагария								Тел. 052-6052722",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
,,"Магазин одежды ""Almasry Fashion""","Одежда, обувь, сумки (48) ","
				Магазин одежды ""Almasry Fashion""
				Кфар Нахф				(Рядом с Кармиэлем)				Тел. 054-4395926, 04-9588032, 04-9588034",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
mailto:dudubitton5@gmail.com,dudubitton5@gmail.com,"Свадебный салон ""Duet""","Одежда, обувь, сумки (48) ","
				Свадебный салон ""Duet""
				Нагария, ул. Герцель 85/1								Тел. 04-9001932, 052-5951245dudubitton5@gmail.com",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
,,"Свадебный салон ""Адам и Ева""","Одежда, обувь, сумки (48) ","
				Свадебный салон ""Адам и Ева""
				ул. Пинхас Лавон 13, Кирьят Ям								Тел. 050-3745986, 052-3981589http://adamandeva.co.il",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki
mailto:elendesign8@gmail.com,elendesign8@gmail.com,"Свадебные платья ""Elen Design""","Одежда, обувь, сумки (48) ","
				Свадебные платья ""Elen Design""
				ул. ХаПальмах 1, Кирьят Бялик				(""Цомет Цабар"")				Тел. 052-6443782, 052-6232373, 04-8730552elendesign8@gmail.comhttp://elendesign.co.il/",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
mailto:smgy@walla.co.il,smgy@walla.co.il,"Женская одежда ""MIMI Fashion"" в Маалоте","Одежда, обувь, сумки (48) ","
				Женская одежда ""MIMI Fashion"" в Маалоте
				Дерех ХаАлуф Узи Наркис, Маалот				(т.ц. Кохав ХаЦафон, 1-й эт.)				Тел. 04-9972774, 052-2669944smgy@walla.co.il",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
mailto:smgy@walla.co.il,smgy@walla.co.il,"Женская одежда ""MIMI Fashion"" в К. Моцкине","Одежда, обувь, сумки (48) ","
				Женская одежда ""MIMI Fashion"" в К. Моцкине
				ул. Моше Гошен 81, Кирьят Моцкин								Тел. 04-8704420, 052-2669944smgy@walla.co.il",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
,,"Пошив одежды для женщин ""Ирма Эксклюзив""","Одежда, обувь, сумки (48) ","
				Пошив одежды для женщин ""Ирма Эксклюзив""
				ул. Гиват Ха-Ракафот, Маалот				(т.ц. ""Ракафот"". 2-й эт.)				Тел. 054-7216800",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
,,"Магазин женской одежды ""Бетти Бум""","Одежда, обувь, сумки (48) ","
				Магазин женской одежды ""Бетти Бум""
				ул. ХаГаатон 28, Нагария				(""Мерказ Панорама"")				Тел. 04-9928997, 054-4951115",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
,,"Магазин одежды ""Мега Мутагим""","Одежда, обувь, сумки (48) ","
				Магазин одежды ""Мега Мутагим""
				ул. Салах Адин 10, Акко				(Атика)				Тел. 04-9550119, 050-6918722, 04-9916860",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
,,"Магазин женской обуви ""Наалей Цви""","Одежда, обувь, сумки (48) ","
				Магазин женской обуви ""Наалей Цви""
				ул. Бен Ами 30, Акко								Тел. 04-9910679				Факс. 04-9910679",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
mailto:ellagaby@012.net.il,ellagaby@012.net.il,"Магазин женской одежды ""Ella""","Одежда, обувь, сумки (48) ","
				Магазин женской одежды ""Ella""
				ул. Швиль ХаГаним 1, Нагария								Тел. 04-9000222, 052-6499400, 052-5076507				Факс. 04-9000222ellagaby@012.net.il",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
mailto:nandy@012.net.il,nandy@012.net.il,"Чемоданы и сумки ""Nandy""","Одежда, обувь, сумки (48) ","
				Чемоданы и сумки ""Nandy""
				ул. Йосеф Леви 23, Кирьят Бялик								Тел. 04-8740133				Факс. 04-8742814nandy@012.net.ilhttp://www.nandy.co.il",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
,,"Магазин детской одежды ""Бон-Бон""","Одежда, обувь, сумки (48) ","
				Магазин детской одежды ""Бон-Бон""
				Кфар-Ясиф				(через дорогу от АЗС)				Тел. 04-9565638, 054-5898933",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
,,"Спорттовары ""Omega Sport""","Одежда, обувь, сумки (48) ","
				Спорттовары ""Omega Sport""
				Каньон ""Сахнин Молл"", Сахнин								Тел. 054-4759609",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
mailto:shirlis245@walla.com,shirlis245@walla.com,"Джинсы и спортивная обувь ""Winner""","Одежда, обувь, сумки (48) ","
				Джинсы и спортивная обувь ""Winner""
				ул. ХаАцмаут 68, Акко								Тел. 04-9911336, 052-4726778shirlis245@walla.com",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
,,"Магазин одежды ""Офнат Пунч""","Одежда, обувь, сумки (48) ","
				Магазин одежды ""Офнат Пунч""
				Мерказ Месхари 5, Маалот								Тел. 04-9574675, 052-4422236",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
,,"Магазин детской одежды и игрушек ""Choko""","Одежда, обувь, сумки (48) ","
				Магазин детской одежды и игрушек ""Choko""
				Меилия								Тел. 050-6933102",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
,,"Спорттовары ""Джинспорт"" в Нагарии","Одежда, обувь, сумки (48) ","
				Спорттовары ""Джинспорт"" в Нагарии
				ул. ХаГаатон 26, Нагария								Тел. 04-9001038",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
,,"Спорттовары ""Джинспорт"" в Маалоте","Одежда, обувь, сумки (48) ","
				Спорттовары ""Джинспорт"" в Маалоте
				Маалот				(Мерказ Месхари)				Тел. 04-9976958",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
,,"Спорттовары ""Джинспорт"" в Кармиэле","Одежда, обувь, сумки (48) ","
				Спорттовары ""Джинспорт"" в Кармиэле
				Кармиэль				(т.ц. ""Мерказ Мэй Центер"")				Тел. 04-9986890",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
,,"Магазин женской одежды ""Jacko""","Одежда, обувь, сумки (48) ","
				Магазин женской одежды ""Jacko""
				Ярка				(по дороге на т.ц. Амш Стар, по правой стороне, после кольца)				Тел. 04-9968557http://www.jackofashion.com",http://info24.co.il/coupons/vse-goroda/odezhda-obuv-sumki/2
mailto:sn.optics@gmail.com,sn.optics@gmail.com,"Магазин оптики ""Оптика Симеан""","Оптика (9) ","
				Магазин оптики ""Оптика Симеан""
				Мерказ Месхари, Маалот								Тел. 04-9973045sn.optics@gmail.com",http://info24.co.il/coupons/vse-goroda/optika
,,"Оптика ""Сигнон""","Оптика (9) ","
				Оптика ""Сигнон""
				ул. Моше Шерет 8, Кирьят Ям								Тел. 04-8755845",http://info24.co.il/coupons/vse-goroda/optika
mailto:opticaya01@walla.com,opticaya01@walla.com,"Магазин оптики ""Оптика Ярка""","Оптика (9) ","
				Магазин оптики ""Оптика Ярка""
				Ярка				(т.ц. ""Кенаан"")				Тел. 04-9561993, 054-5377870				Факс. 04-9561993opticaya01@walla.com",http://info24.co.il/coupons/vse-goroda/optika
,,"Оптика ""Гаатон""","Оптика (9) ","
				Оптика ""Гаатон""
				Кармиэль				(т.ц. ""Лев Кармиэль"", 1-й этаж)				Тел. 077-4050966",http://info24.co.il/coupons/vse-goroda/optika
,,"Оптика ""Оптисана""","Оптика (9) ","
				Оптика ""Оптисана""
				Кфар Врадим				(т.ц. ""Кфар Врадим"")				Тел. 04-9570043",http://info24.co.il/coupons/vse-goroda/optika
,,"Оптика ""Лайенк""","Оптика (9) ","
				Оптика ""Лайенк""
				Кфар-Ясиф, 24908								Тел. 04-9969080				Факс. 04-9969083",http://info24.co.il/coupons/vse-goroda/optika
,,"Оптика ""Мина Азми""","Оптика (9) ","
				Оптика ""Мина Азми""
				ул. ХаШук, Таршиха				(по левой стороне при входе на рынок)				Тел. 04-9972855, 052-8796660",http://info24.co.il/coupons/vse-goroda/optika
,,"Магазин ""Мерказ оптика""","Оптика (9) ","
				Магазин ""Мерказ оптика""
				Ярка				(2км вверх от кольца ""Шоппинг центра"")				Тел. 04-9965647, 050-2840203				Факс. 04-9996470",http://info24.co.il/coupons/vse-goroda/optika
mailto:optica.menaim@013.net,optica.menaim@013.net,"Магазин оптики ""Оптика Меор Анаим""","Оптика (9) ","
				Магазин оптики ""Оптика Меор Анаим""
				Мерказ Месхари, Маалот				(Рядом с банком ""Бейнлеуми"")				Тел. 04-9575551optica.menaim@013.net",http://info24.co.il/coupons/vse-goroda/optika
mailto:info@skidki.co.il,info@skidki.co.il,"Реклама в Израиле ""Info24.co.il""","Освещение (19) ","
				Реклама в Израиле ""Info24.co.il""
				Телефоны для рекламодателей:								Тел. 073-7508999, (+972)-73-750-8999info@skidki.co.il",http://info24.co.il/coupons/vse-goroda/osveschenie
mailto:l.g.s_lights@walla.co.il,l.g.s_lights@walla.co.il,"Освещение ""Орот ХаГалиль""","Освещение (19) ","
				Освещение ""Орот ХаГалиль""
				Ярка				(напротив т.ц. ""Амш-Стар"")				Тел. 04-9564002, 054-6674604				Факс. 04-9564003l.g.s_lights@walla.co.il",http://info24.co.il/coupons/vse-goroda/osveschenie
,,"Электротовары ""Мерказ аХашмаль""","Освещение (19) ","
				Электротовары ""Мерказ аХашмаль""
				Меилия				(АЗС Делек)				Тел. 04-9997454				Факс. 04-6335477",http://info24.co.il/coupons/vse-goroda/osveschenie
mailto:al-amer@al-amer.co.il,al-amer@al-amer.co.il,"Мебель и освещение ""Аль-Амер""","Освещение (19) ","
				Мебель и освещение ""Аль-Амер""
				ул. ХаНапах 34, Кармиэль				(промзона)				Тел. 04-9987554				Факс. 04-9083004al-amer@al-amer.co.ilhttp://al-amer.co.il",http://info24.co.il/coupons/vse-goroda/osveschenie
